word	count	note
617	12	numeric-out-of-range
177	12	numeric-out-of-range
tie	12	short-token
313	12	numeric-out-of-range
821	12	numeric-out-of-range
rsp	12	short-token
150th	12	alphanumeric-oddity
fly	12	short-token
606	12	numeric-out-of-range
low-hanging	12	possible-hyphenated-artefact
258	12	numeric-out-of-range
ben	12	short-token
532	12	numeric-out-of-range
615	12	numeric-out-of-range
921	12	numeric-out-of-range
wet	12	short-token
928	12	numeric-out-of-range
915	12	numeric-out-of-range
736	12	numeric-out-of-range
doc	12	short-token
11104	12	numeric-out-of-range
10415	12	numeric-out-of-range
lit	11	short-token
198	11	numeric-out-of-range
tip	11	short-token
350	11	numeric-out-of-range
huh	11	short-token
918	11	numeric-out-of-range
215th	11	alphanumeric-oddity
ken	11	short-token
526	11	numeric-out-of-range
807	11	numeric-out-of-range
aye	11	short-token
152	11	numeric-out-of-range
mid-block	11	possible-hyphenated-artefact
tab	11	short-token
715	11	numeric-out-of-range
158	11	numeric-out-of-range
331	11	numeric-out-of-range
518	11	numeric-out-of-range
40s	11	alphanumeric-oddity
bet365	11	alphanumeric-oddity
426	11	numeric-out-of-range
717	11	numeric-out-of-range
902	11	numeric-out-of-range
283	11	numeric-out-of-range
268	11	numeric-out-of-range
327	11	numeric-out-of-range
570	11	numeric-out-of-range
507	11	numeric-out-of-range
161	11	numeric-out-of-range
718	11	numeric-out-of-range
4306	11	numeric-out-of-range
523	11	numeric-out-of-range
750	11	numeric-out-of-range
rib	11	short-token
197	11	numeric-out-of-range
248	11	numeric-out-of-range
804	11	numeric-out-of-range
5104	11	numeric-out-of-range
ups	11	short-token
2520	11	numeric-out-of-range
10429	11	numeric-out-of-range
jd	11	short-token
na	11	short-token
2710	10	numeric-out-of-range
25th	10	alphanumeric-oddity
aft	10	short-token
uti	10	short-token
multi-gas	10	possible-hyphenated-artefact
iii	10	short-token
sos	10	short-token
cue	10	short-token
7am	10	alphanumeric-oddity
ad	10	short-token
ob	10	short-token
ill	10	short-token
535	10	numeric-out-of-range
265	10	numeric-out-of-range
24th	10	alphanumeric-oddity
18th	10	alphanumeric-oddity
cox	10	short-token
ml	10	short-token
850	10	numeric-out-of-range
two-story	10	possible-hyphenated-artefact
154	10	numeric-out-of-range
167	10	numeric-out-of-range
825	10	numeric-out-of-range
de	10	short-token
gov	10	short-token
529	10	numeric-out-of-range
505	10	numeric-out-of-range
gps	10	short-token
rob	10	short-token
284	10	numeric-out-of-range
729	10	numeric-out-of-range
725	10	numeric-out-of-range
2700	10	numeric-out-of-range
30s	10	alphanumeric-oddity
914	10	numeric-out-of-range
pad	10	short-token
non	10	short-token
903	10	numeric-out-of-range
900	10	numeric-out-of-range
